2025-10-26 12:00,soopeewee,SPWHL RED,SPWHL BLACK,GFL Gardens,U18HL,"269 Queen St., Sault Ste. Marie, ON            "
2025-10-26 13:30,soopeewee,LBMX,Mrs. B's Pizza,GFL Gardens,U13A,"269 Queen St., Sault Ste. Marie, ON            "
2025-10-26 15:00,soopeewee,MALCOLM MEN CONTRACTING,Northside Volkswagen,GFL Gardens,U15A,"269 Queen St., Sault Ste. Marie, ON            "
2025-11-16 18:00,soopeewee,SPWHL BLACK,SPWHL BLUE,NCC Arena1,U18HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-11-16 21:30,soopeewee,Prouse Chevrolet,Bobcat Trail,NCC Arena1,U15HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-11-06 17:30,soopeewee,SPWHL BLUE,SPWHL GREEN,JR2,U18HL,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-11-04 18:00,soopeewee,MALCOLM MEN CONTRACTING,Northside Volkswagen,Rankin Arena,U15A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-11-04 19:30,soopeewee,Northern Sports Excellence,Winmar,Rankin Arena,U15A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-10-19 11:00,soopeewee,U7T1 TIMBITS Red - Figures,U7T1 TIMBITS  Royal Blue - Longo,PeeWee Arena,U7T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-19 12:00,soopeewee,U7T1 TIMBITS Gold - Miller,U7T1 TIMBITS Forrest Green - Berry,PeeWee Arena,U7T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-19 20:00,soopeewee,Great Lakes Surface Solutions,Kinze Adventure Dogs,PeeWee Arena,U13HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-19 18:30,soopeewee,SK Group,ACE OF TRADES,PeeWee Arena,U13HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-19 13:00,soopeewee,U7T2 TIMBITS Blue - Williamson,U7T2 TIMBITS Black - Roach,PeeWee Arena,U7T2,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-19 14:00,soopeewee,U7T2 TIMBITS Purple - Thomas,U7T2 TIMBITS Orange - Gearing,PeeWee Arena,U7T2,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-19 17:00,soopeewee,STACKBURGER,SAMMY'S BACK PACKS,PeeWee Arena,U13HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-11-21 18:30,soopeewee,SLC Legal Solutions,Team Essentials,GFL Gardens,U15HL,"269 Queen St., Sault Ste. Marie, ON            "
2025-11-21 20:00,soopeewee,Soo PEP Hockey,Carpet One,GFL Gardens,U15HL,"269 Queen St., Sault Ste. Marie, ON            "
2025-11-03 17:30,soopeewee,SPWHL GREEN,SPWHL BLACK,JR2,U18HL,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-11-30 15:00,soopeewee,Winmar,MALCOLM MEN CONTRACTING,GFL Gardens,U15A,"269 Queen St., Sault Ste. Marie, ON            "
2025-11-23 15:00,soopeewee,Northern Sports Excellence,Northside Volkswagen,GFL Gardens,U15A,"269 Queen St., Sault Ste. Marie, ON            "
2025-10-26 11:00,soopeewee,U7T1 TIMBITS Forrest Green - Berry,U7T1 TIMBITS Red - Figures,PeeWee Arena,U7T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-26 12:00,soopeewee,U7T1 TIMBITS  Royal Blue - Longo,U7T1 TIMBITS Gold - Miller,PeeWee Arena,U7T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-26 20:00,soopeewee,ACE OF TRADES,ROY GRAHAM TRUCKING,PeeWee Arena,U13HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-26 18:30,soopeewee,Northside Volkswagen,SooToday SPACES,PeeWee Arena,U13A,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-26 13:00,soopeewee,U7T2 TIMBITS Orange - Gearing,U7T2 TIMBITS Black - Roach,PeeWee Arena,U7T2,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-26 14:00,soopeewee,U7T2 TIMBITS Blue - Williamson,U7T2 TIMBITS Purple - Thomas,PeeWee Arena,U7T2,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-26 17:00,soopeewee,Great Lakes Surface Solutions,EZ Ride,PeeWee Arena,U13HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-11-09 21:30,soopeewee,Stellar Duct Cleaning,SLC Legal Solutions,NCC Arena1,U15HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-11-24 17:00,soopeewee,Soo PEP Hockey,Carpet One,Rankin Arena,U15HL,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-11-24 18:30,soopeewee,SK Group,Northside Volkswagen,Rankin Arena,U18A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-10-21 18:00,soopeewee,MALCOLM MEN CONTRACTING,Winmar,Rankin Arena,U15A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-10-21 19:30,soopeewee,Northside Volkswagen,Northern Sports Excellence,Rankin Arena,U15A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-10-24 19:00,soopeewee,Mrs. B's Pizza,Northside Volkswagen,PeeWee Arena,U13A,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-24 20:30,soopeewee,SooToday SPACES,LBMX,PeeWee Arena,U13A,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-14 18:00,soopeewee,SPWHL RED,SPWHL BLUE,NCC Arena1,U18HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-12-14 21:30,soopeewee,Carpet One,Bobcat Trail,NCC Arena1,U15HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-10-20 17:30,soopeewee,SPWHL BLUE,SPWHL RED,JR2,U18HL,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-11-20 17:00,soopeewee,Gracie's Howlers,Green Apple Realty,PeeWee Arena,U8T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-11-20 18:00,soopeewee,LBMX,Property Masters,PeeWee Arena,U8T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-11-20 20:00,soopeewee,U11H AtoMc SKY BLUE,U11H AtoMc GREEN,PeeWee Arena,U11HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-11-20 19:00,soopeewee,U11H AtoMc RED,U11H AtoMc BLUE,PeeWee Arena,U11HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
